station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0R420,09/13/2019 00:00:00,504,59,3,22.9,-99,948.2,-99,0,-99,-99,-99,25.8,,22.5,
C0E830,09/13/2019 00:00:00,37,49,0.8,28.1,0.73,1002.9,-99,0,-99,-99,-99,33,,27.2,
C0K330,09/13/2019 00:00:00,38,139,0.6,27.6,0.91,1002.9,-99,0,-99,-99,-99,33.2,,26.4,
C0M660,09/13/2019 00:00:00,40,190,1.7,27.5,0.89,1003.4,-99,0,-99,-99,-99,32.3,,26.3,
C0D580,09/13/2019 00:00:00,120,0,0,21.9,0.92,994,-99,0,-99,-99,-99,33,,21.1,
C0W120,09/13/2019 00:00:00,58,29,3.2,25.9,0.94,1001.4,-99,0,-99,-99,-99,29.5,,25.2,
C0R470,09/13/2019 00:00:00,103,346,1,27.2,0.99,996.7,-99,0,-99,-99,-99,34.1,,25.2,
C0M770,09/13/2019 00:00:00,164,142,1.1,27,0.94,988.7,-99,0,-99,-99,-99,32,,25.7,
C0S930,09/13/2019 00:00:00,248,268,1.7,24.8,0.79,982.3,-99,0,-99,-99,-99,33.3,,23.6,
C0F9Y0,09/13/2019 00:00:00,3313,269,1.4,10.5,0.37,688.5,-99,0,-99,-99,-99,19.4,,9.6,
C0E790,09/13/2019 00:00:00,344,106,0.3,26.4,0.93,969,-99,0,-99,-99,-99,32.8,,24.5,
C0O810,09/13/2019 00:00:00,161,9,0.9,25.5,0.99,992.5,-99,0,-99,-99,-99,33.4,,24,
C0R520,09/13/2019 00:00:00,18,94,1.2,27.6,0.86,1005.7,-99,0,-99,-99,-99,33,,25.6,
C0G880,09/13/2019 00:00:00,92,99,0.6,26.9,0.87,997.9,-99,0,-99,-99,-99,32.3,,25.6,
C0X270,09/13/2019 00:00:00,33,0,0,25.9,1,1004.7,-99,0,-99,-99,-99,33.5,,24.3,
C0R260,09/13/2019 00:00:00,76,88,0.3,25.4,0.99,999.2,-99,0,-99,-99,-99,33.2,,24.5,
C0U950,09/13/2019 00:00:00,1012,95,6.2,20.6,1,901.6,-99,14,-99,-99,-99,22.1,,20.1,
C0O860,09/13/2019 00:00:00,38,114,1,27.2,0.99,1002.8,-99,0,-99,-99,-99,33.5,,25.7,
C0S980,09/13/2019 00:00:00,901,291,2.4,20.6,0.93,910.6,-99,0,-99,-99,-99,25.9,,20.1,
C0X110,09/13/2019 00:00:00,20,202,1,28.9,0.93,1005.3,-99,0,-99,-99,-99,32,,26.8,
C0V310,09/13/2019 00:00:00,46,360,0.3,26.6,0.94,1001.5,-99,0,-99,-99,-99,33.4,,24.5,
C0G620,09/13/2019 00:00:00,110,219,1.1,26.2,0.97,995.9,-99,0,-99,-99,-99,34.4,,24.9,
C0AD50,09/13/2019 00:00:00,84,74,4.9,28.1,0.83,999.6,-99,0,-99,-99,-99,32.8,,26.7,
C0A9A0,09/13/2019 00:00:00,24,104,2.3,28.2,0.84,1007,-99,0,-99,-99,-99,32,,28,
C0O830,09/13/2019 00:00:00,127,0,0.2,26.1,1,993.8,-99,0,-99,-99,-99,33.6,,24.1,
C0S760,09/13/2019 00:00:00,1621,360,1.9,17,0.73,838.7,-99,0,-99,-99,-99,23.7,,15.8,
C0X160,09/13/2019 00:00:00,26,109,1.4,27.4,0.94,1004.9,-99,0,-99,-99,-99,33.8,,26.2,
C0C490,09/13/2019 00:00:00,157,80,1.5,27.9,0.74,990.7,-99,0,6.9,66,,35.8,,27,
C0F970,09/13/2019 00:00:00,145,101,1.9,26.8,0.85,990.5,-99,0,-99,-99,-99,33.1,,25.6,
C0M690,09/13/2019 00:00:00,33,194,0.6,27.2,0.9,1002.9,-99,0,-99,-99,-99,32.3,,26,
C0V690,09/13/2019 00:00:00,30,0,0.2,29.5,0.8,1005,-99,0,-99,-99,-99,31.3,,27.3,
C0Z210,09/13/2019 00:00:00,126,34,0.4,23.4,0.99,997.1,-99,0,-99,-99,-99,32.7,,22.4,
C0U770,09/13/2019 00:00:00,5,313,3.5,25.5,0.72,1009.6,-99,0,-99,-99,-99,31.5,,24.3,
C0Z080,09/13/2019 00:00:00,298,0,0,22.8,0.85,976.9,-99,0,-99,-99,-99,33.3,,22.4,
C0G640,09/13/2019 00:00:00,17,0,0.1,28.2,0.89,1007.2,-99,0,-99,-99,-99,34.3,,25.9,
C0X200,09/13/2019 00:00:00,61,91,0.3,26.2,0.99,1000.9,-99,0,-99,-99,-99,32.3,,24.8,
C0U900,09/13/2019 00:00:00,63,125,0.9,25.9,0.89,1004.3,-99,0.5,-99,-99,-99,31.2,,24.6,
C0Z230,09/13/2019 00:00:00,31,316,5,27.3,0.6,1007.1,-99,0,-99,-99,-99,30.3,,25.8,
C0F9O0,09/13/2019 00:00:00,175,0,0.1,29.2,0.84,988,-99,0,-99,-99,-99,34,,26.9,
C0C540,09/13/2019 00:00:00,46,72,4.7,27.3,0.78,1003.7,-99,0,-99,-99,-99,34.5,,27,
